Provincia,Año,Trimestre,Accesos por cada 100 hogares,Variacion Trimestral
Río Negro,2015,3,46.39,0.8916920400174
Río Negro,2015,4,46.44,0.1077818495365257
Río Negro,2016,1,45.84,-1.2919896640826711
Río Negro,2016,2,46.24,0.8726003490401313
Río Negro,2016,3,46.39,0.3243944636678098
Río Negro,2016,4,46.39,0.0
Río Negro,2017,1,46.03,-0.7760293166630738
Río Negro,2017,2,46.02,-0.02172496198131757
Río Negro,2017,3,48.52,5.432420686657968
Río Negro,2017,4,49.38,1.7724649629018874
Río Negro,2018,1,49.82,0.8910490076954103
Río Negro,2018,2,50.15,0.6623845845042053
Río Negro,2018,3,50.54,0.7776669990029905
Río Negro,2018,4,51.86,2.611792639493471
Río Negro,2019,1,53.57,3.2973389895873506
Río Negro,2019,2,61.09,14.037707672204602
Río Negro,2019,3,63.42,3.8140448518579007
Río Negro,2019,4,55.71,-12.15704824976348
Río Negro,2020,1,55.12,-1.0590558248070425
Río Negro,2020,2,56.37,2.26777939042091
Río Negro,2020,3,57.05,1.2063154160014244
Río Negro,2020,4,61.09,7.0815074496056285
Río Negro,2021,1,60.88,-0.343755115403499
Río Negro,2021,2,61.94,1.741130091984222
Río Negro,2021,3,61.97,0.048433968356476065
Río Negro,2021,4,65.69,6.002904631273198
Río Negro,2022,1,67.04,2.055107322271277
Salta,2014,1,28.7,
Salta,2014,2,28.91,0.7317073170731714
Salta,2014,3,29.22,1.072293324109297
Salta,2014,4,29.53,1.0609171800136874
Salta,2015,1,30.01,1.6254656281747382
Salta,2015,2,30.46,1.499500166611134
Salta,2015,3,31.18,2.3637557452396596
Salta,2015,4,31.59,1.3149454778704328
Salta,2016,1,31.32,-0.8547008547008517
Salta,2016,2,32.08,2.4265644955300036
Salta,2016,3,32.96,2.743142144638422
Salta,2016,4,32.69,-0.81917475728156
Salta,2017,1,32.58,-0.3364943407769938
Salta,2017,2,32.74,0.49109883364029105
Salta,2017,3,39.84,21.68601099572389
Salta,2017,4,39.8,-0.10040160642571516
Salta,2018,1,39.78,-0.05025125628139726
Salta,2018,2,39.94,0.40221216691804784
Salta,2018,3,39.43,-1.276915373059584
Salta,2018,4,39.8,0.9383717981232609
Salta,2019,1,40.1,0.7537688442211143
Salta,2019,2,41.89,4.463840399002494
Salta,2019,3,44.48,6.182859871090951
Salta,2019,4,50.35,13.19694244604317
Salta,2020,1,49.6,-1.4895729890764597
Salta,2020,2,51.58,3.9919354838709564
Salta,2020,3,52.32,1.4346645986816675
Salta,2020,4,54.04,3.2874617737002954
Salta,2021,1,53.93,-0.2035529237601752
Salta,2021,2,54.93,1.8542555164101637
Salta,2021,3,55.96,1.875113781176041
